"","ID","Technique","Resolution","Source","Evalue","Identity"
"1","5VM9","X-RAY DIFFRACTION","3.28","Homo sapiens",0,44.549
"10","3VNA","X-RAY DIFFRACTION","2.0","Arabidopsis thaliana",7.67e-84,84.459
"14","5THE","X-RAY DIFFRACTION","2.1","Vanderwaltozyma polyspora",1.44e-52,33.506
